X,A Ton Of Money,A significant amount of money.,"A significant sum of money. Say, a ton..."
X,Acquisition Indigestion,an acquisition or merger in which the companies involved have trouble integrating with one another.,"Trouble two companies have with integrating, after an acquisition or merger"
,Active Box,A physical location in a brokerage where securities are kept.,"Physical place where stocks, bonds and other securities are kept, in a brokerage"
x,Air Pocket Stock,"A stock that experiences a sudden drop, usually the result of investors reacting to negative news.","A stock that drops suddenly in value, like a plane in an air pocket. Without the complimentary sick bags. Often caused by investors' reactions to bad news"
,Ankle Biter,A stock with low market capitalization.,A stock with low market capitalization
,Anti-Fragility,A postulated antithesis to fragility where high-impact events or shocks can be beneficial.,"The theory that high-impact events or shocks can be benefical. Opposes the theory of fragility, which connects these events to financial downfall"
,Aspirin Count Theory,A market theory that states stock prices and aspirin production are inversely related.,"The theory that when stock prices go up, aspirin production goes down. A headache to understand..."
,Asset Valuation Reserve - AVR,Capital required to be set aside in order to cover a company against unexpected debt.,Money set aside to secure a company against debts that could surprise them in future
,At A Premium,"The sale of an asset or item at a price significantly above the original purchase price due to high demand, rather than appreciation.","At a sale price that's much higher than what the vendor paid originally for the item - due to high demand, not actial appreciation in value"
,Aunt Millie,An uneducated or unsophisticated investor.,An uneducated or unsophisticated investor
,Away From The Market,"When the bid on a limit order is lower than the current market price or the offer price is higher than the current market price, for a particular security.","On a limit order, a bid that's significantly lower or higher than the current market price"
,Back Up,"The movement in spread, price or yield of a security, which makes it more expensive to issue.","A change in the spread, price or yield of a security - making it cost more to issue"
,Back Up The Truck,The purchase of a large position in a stock or other financial asset by an investor or trader,"The buying of a large position in a stock or other asset, by an investor or trader. Vrrooom!"
,Badwill,The negative effect felt by a company when shareholders and the investment community find out that is has done something that is not in accordance with good business practices.,What happens when you misbehave. The negative effect felt by a company when its investment community find out about its poor business practices
,Bag Holder,An investor who holds a position in a stock which decreases in value until it is worthless.,The investor who's positioned in a stock that keeps decreasing in value - until it's worth nothing
,Bagel Land,A stock or other security that is approaching $0 in price.,"A stock or other security so stale it's approaching a big, round $0 in price"
X,Ballpark Figure,,You know…a guess…that fits within a metaphorical sportsground
x,Barometer,A compilation of market and economic data that represents a general or larger trend.,The market and economic data that indicates trends
,Barrybonds,Financial instruments that have an impressive growth rate - but also a high risk factor,Financial instruments with a nice growth rate - and a nasty risk factor
x,BDN,Big Damn Number,Big Damn Number!
,Bear Market Depressive Syndrome (BMDS),"Term used to describe the sense of inadequacy, shame and regret felt by an individual whenever the stock market takes a dip.","Sense of inadequacy, shame and regret felt when the stock market dips"
X,Bear Market Rally,A period in which prices of stocks increase during a bear market.,"A period over which stock prices increase, in spite of the self-fulfilling negativity of a bear market"
X,Bear Squeeze,A change in market conditions that forces pessimistic investors attempting to profit from price declines to buy back an investment at a higher price than they sold it for.,"The change in market conditions that squeezes money out of pessimistic investors; they try to profit from price declines, only to end up buying back their own assets at a higher price than at first"
,Bear Tack,"A fall in the price of a stock, sector, or market, or investor sentiment that assumes a fall will happen soon.","Not as cute as it sounds. A fall in the price of a stock, market or sector - or a sentiment amongst investors that a fall is soon to come"
,Bellwether Stock,"A stock that is believed to be a leading indicator of the direction of a sector, industry or market as a whole.","A stock that's held to be a weather forecast for the rest of its sector, industry or market - indicating its direction as a whole"
,Bid Whacker,An investor who sells shares at or below the bid price. ,"Investor who sells shares at, or below, bid price"
,Black Friday,A day of stock market catastrophe.,"A day of stock market catastrophe, in which prices crash"
X,Black Knight,A company that makes a hostile takeover offer for a target company.,A company making a hostile takeover offer. Not to be confused with The Dark Knight
,Black Swan,An event or occurrence that deviates beyond what is normally expected of a situation and that would be extremely difficult to predict.,An unpredictable event; flying completely in the face of what you'd usually expect from a situation. They should have called it the bright purple swan... 
