X,A Ton Of Money,A significant amount of money,"A significant sum of money. Say, a ton..."
,AWC,After Work Call,That call you get after work…often after falling asleep
X,Adminispam,Electronic messages from a company's executives that are of little value to the employee who has received it,Yet another inbox clogging email that no one reads but is afraid to delete as it may be important later on. #1 cause of 'inbox over the limit' messages
,Adminisphere,"the levels of management where big, impractical, and counterproductive decisions are made","That particular level of management who spend so long working out the answer, no one can even remember the question"
,Affluenza,"A social condition arising from the desire to be more wealthy, successful or to ""keep up with the Joneses"".",Incurable desire to 'keep up with the Joneses' through more wealth and success
X,Aggregator,A web-based tool that collects and delivers syndicated content.,Like a futuristic postman: an online tool that collects and delivers syndicated content
x,Airball,"Someone who makes lots of noise, disrupts everything, has the potential to make a big mess - but ultimately does nothing.","You all know the guy.  So much talk, so little action"
,Alpha Pup,"A term used by market researchers for the ""coolest kid in the neighborhood.""",Coolest kid in town': rare species sought widely by market researchers
x,Anecdotal Evidence,"non-scientific observations or studies, which do not provide proof but may assist research efforts","Non-scientific observations and stories, used to back up an argument"
,Apple Polishers,someone who utilizes gifts and flattery as means of attempting to achieve promotion or favor.,"Ohh, your hair is looking fabulous today.  Did you get it cut?  Now about that promotion..."
,Archives,An organized index page that collects a website’s posts from the past.,"A neat index page that holds they key to a website's past - organising all of its historic posts, to browse through"
,Aspirin Count Theory,A market theory that states stock prices and aspirin production are inversely related.,"The theory that when stock prices go up, aspirin production goes down. A headache to understand..."
x,ATNA,"All talk, no action. Four-letter acronym describing a person who makes promises with great fanfare, but seldom follows through","All talk, no action.  The quickest way to describe the guy who promises the world, then delivers nothing"
,B2B,,From that company to another company
,B2C,,From that company to a real life consumer
,Bad Cosmetics,Any action or practice that would reflect badly on the company,"Actions that aren't pretty, when it comes to their effect on company reputation"
,Badwill,The negative effect felt by a company when shareholders and the investment community find out that is has done something that is not in accordance with good business practices.,What happens when you misbehave. The negative effect felt by a company when its investment community find out about its poor business practices
X,Ballpark Figure,,You know…a guess…that fits within a metaphorical sportsground
,Baptism of Fire,A difficult situation that a company or individual experiences that will result in either success or failure.,"A hard, make-or-break situation for a company or individual"
,Barn Raising ,Solving a difficult problem by pulling staff and resources from the four corners of the company to develop a solution.,Solving a difficult problem by pulling staff and resources out of the woodwork to develop a solution
x,Bashtag,Using a company’s twitter handle to bash a company,Using a company’s twitter handle to bash a company #Ouch
x,BDN,Big Damn Number,Big Damn Number!
,Below Zeros,A term used to describe customers who cost more to serve than they return in value,Customers who cost more to serve than they actually spend
,BHAG,,A goal so big that it is awfully hairy and awfully audacious
,Big Data,,That amorphous idea of tons of bits of information. Could be insightful in the right hands
X,Bi-tonal,"Old style managers that see things as right or wrong, leaving no room for discussion","The kind of boss who sees it as black or white, with nothing inbetween"
,Black Friday,A day of stock market catastrophe.,"A day of stock market catastrophe, in which prices crash"
X,Blame Shift,To deflect responsibility by pointing the finer at someone else.,"Seek out the weakest and most vulnerable employee and place the blame at their feet.  After all, it's your mortage/income/life at stake"
X,Blamestorming,A group process where participants analyze a failed project and look for scapegoats other than themselves,The group process of blaming everyone and everything.  Apart from yourself
X,Blanding,Branding schemes that strip out any uniqueness in a corporate identity in order to appear to a larger audience,Branding that takes away identity and uniqueness instead of adding to it - in an attempt to please a wider audience
,Bleeding Edge Technology,"Technology that is acquired almost immediately after its release, regardless of the increased cost or risk involved",Technology acquired as soon as it's released - regardless of gory risks or cost increases for the buyers
