,Acqui-hire,A blend of acquired and hired.,Can't find the staff these days?  Not to worry. Just buy out the whole team
X,Acquisition Indigestion,an acquisition or merger in which the companies involved have trouble integrating with one another.,"Trouble two companies have with integrating, after an acquisition or merger"
,AWC,After Work Call,That call you get after work…often after falling asleep
,Adhocracy,A type of organization that operates in opposite fashion to a bureaucracy.,"Where once there was bureaucracy, here lies the solution to endless red tape"
X,Adminispam,electronic messages from a company's executives that are of little value to the employee who has received it,Yet another inbox clogging email that no one reads but is afraid to delete as it may be important later on.  Number one cause of 'inbox over the limit' messages
,Adminisphere,"the levels of management where big, impractical, and counterproductive decisions are made","That particular level of management who spend so long working out the answer, no one can even remember the question"
,Affluenza,"A social condition arising from the desire to be more wealthy, successful or to ""keep up with the Joneses"".",Incurable desire to 'keep up with the Joneses' through more wealth and success
x,Airball,"Someone who makes lots of noise, disrupts everything, has the potential to make a big mess - but ultimately does nothing.","You all know the guy.  So much talk, so little action"
,Apple Polishers,someone who utilizes gifts and flattery as means of attempting to achieve promotion or favor.,"Ohh, your hair is looking fabulous today.  Did you get it cut?  Now about that promotion..."
x,ATNA,"All talk, no action. Four-letter acronym describing a person who makes promises with great fanfare, but seldom follows through","All talk, no action.  The quickest way to describe the guy who promises the world, then delivers nothing"
,Badwill,The negative effect felt by a company when shareholders and the investment community find out that is has done something that is not in accordance with good business practices.,What happens when you misbehave. The negative effect felt by a company when its investment community find out about its poor business practices
,Baptism of Fire,A difficult situation that a company or individual experiences that will result in either success or failure.,"A hard, make-or-break situation for a company or individual"
,Barn Raising ,Solving a difficult problem by pulling staff and resources from the four corners of the company to develop a solution.,Solving a difficult problem by pulling staff and resources out of the woodwork to develop a solution
X,Bi-tonal,"Old style managers that see things as right or wrong, leaving no room for discussion","The kind of boss who sees it as black or white, with nothing inbetween"
X,Blame Shift,To deflect responsibility by pointing the finer at someone else.,"Seek our the weakest and most vulnerable employee and place the blame at their feet.  After all, it's your mortage/ income/ life at stake"
X,Blamestorming,A group process where participants analyze a failed project and look for scapegoats other than themselves,The group process of blaming everyone and everything.  Apart from yourself
,Bobbleheading,The mass nod of agreement by participants in a meeting to comments made by the boss even though most have no idea what he just said ,"A boardroom full of nodding colleagues, daydreaming about what to have for lunch, who don't have a clue what's being said"
