,Advermation,Any advertisement or marketing message that is presented to users as useful information.,"An advert, fused with (or disguised as) useful information"
,Advertainment," ""Advertising is no longer about interrupting what people are interested in, it's about being what people are interested in.""",Advertising by entertaining
,Alpha Pup,"A term used by market researchers for the ""coolest kid in the neighborhood.""",Coolest kid in town': rare species sought widely by market researchers
,Archives,An organized index page that collects a website’s posts from the past.,"A neat index page that holds they key to a website's past - organising all of its historic posts, to browse through"
,At A Premium,"The sale of an asset or item at a price significantly above the original purchase price due to high demand, rather than appreciation.","At a sale price that's much higher than what the vendor paid originally for the item - due to high demand, not actial appreciation in value"
,B2B,,From that company to another company
,B2C,,From that company to real life consumer
X,Ballpark Figure,,You know…a guess…that fits within a metaphorical sportsground
x,Bashtag,Using a company’s twitter handle to bash a company,Using a company’s twitter handle to bash a company. #Ouch
,Below Zeros,A term used to describe customers who cost more to serve than they return in value,Customers who cost more to serve than they actually spend
,Betamaxed,When a technology is overtaken in the market by inferior but better marketed competition.,When your awesome product gets outplayed by the marketing of an inferior one
,Big Box Retailer,A retail store that occupies an enormous amount of physical space and offers a variety of products to its customers.,"AKA supercenter, superstore or super retail outlet offering absolutely everything to absolutely everyone"
X,Blanding,Branding schemes that strip out any uniqueness in a corporate identity in order to appear to a larger audience,Branding that takes away identity and uniqueness instead of adding to it - in an attempt to please a wider audience
,Bloated Syntax,Anything that’s overwritten- often padded with unnecessary adjectives or laden with hyperbole. Also appropriately known as 'BS',"Overwritten, padded with unnecessary syllables, adjectives and rhetoric; better known simply as 'BS'"
,Blogola,Paying well-known bloggers to write about a product or service under the guise of newsworthy information.,Paying successful bloggers to write about a product or service
X,Blogosphere,the social universe created by online individuals using web log publishing platforms.,The online universe of self-publishing fanatics known as 'bloggers'
X,Brandroid,"Someone who relentlessly trumptes the brand and pushes for all decisions to be aligned with the company’s ""brand essence""",The one who talks non-stop about the brand and wants everything aligned to company 'brand essence'. And we mean everything
,Brick-and-Mortar,businesses that have physical (rather than online or virtual) presences,"Present physically in the business world, instead of online"
,Call Blending,Mixing Inbound and outbound calls for call center agents to smooth out peaks and troughs of inbound calls and keep agents productive in quiet periods. ,Mixing Inbound and outbound calls for call center agents to smooth out peaks and troughs of inbound calls and keep agents productive in quiet periods
,Capitalized Reputation,"A company's value based on name recognition and brand, not tangible assets. ","A company's value as measured by its brand, reputation and name recognition"
,Carried a Bag,"A seasoned, outside salesperson, who has traveled extensively, been responsible for meeting a large quota and has the ulcers to prove it.",A hardcore salesman who has more than earned his airmiles
X,Category Killer,Large companies that put less efficient and highly specialized merchants out of business.,Giant companies that put others in their category - often specialist merchants - out of business
,Caveat Emptor,"A Latin phrase for ""let the buyer beware."" ","Latin for ""let the buyer beware"""
,"""CHANGES THE WORLD!""",,"""It NOW comes in strawberry flavour!"" Oh..that's it?"
,Channel Agnostic,A single process used across different service channels,One size fits all.  Right?  Use this process across different service channels
,Channel Stuffing,To artificially increase revenue figures by selling to dealers and distributors who do not have ultimate buyers. ,Need to bump up this quarter's figures?  Do this and deal with the consequences later…
,Channibalism,When a new marketing channel steals business from existing channels without adding new growth.,When a new marketing channel eats up all the business from existing ones - without adding new growth
,Clicks and Mortar,A traditional company that managed to successfully integrate the Internet into its existing channels.,"A traditional company, with physical stores, that successfully incorporates Internet into its channels"
,Client-centric,Marketing-speak for anything that focuses on the needs of the customer.,Revolving around the customer and their needs
,CNN Effect,"A theory that seeks to explain the effect that 24-hour news networks, such as CNN, have on the general political and economic climate.","The general, political and economic effects experienced when 24 hour news networks cover a story"
,Co-opetition,When your competitor is also a partner or collaborator,When your competitor is also a partner or collaborator
,Cockroach Theory,"A market theory that suggests that when a company reveals bad news to the public, there may be many more related negative events that have yet to be revealed.","The theory that behind every bit of bad news, there's much more to be revealed.  As a wise man once said, ""There's never just one."" "
x,Coiled Market,A market that is believed to have the potential to make a strong move in one direction after being pushed in the opposite direction.,A market that is believed to have the potential to make a strong move in one direction after being pushed in the opposite direction
x,Cold Calling,The solicitation of potential customers who were not anticipating such an interaction. ,Calling a potential customer or client who isn't expecting to hear from you. Expect a cold response!
,Columbo Site,"A Web page that opens after you unsubscribe from an e-mail list, where a final appeal is made to keep you.",The website that opens after you unsubscribe from a mailing list as a last desperate shot at persuading you to stay
,Corporate Cannibalism,An act of self-infringement upon market share by corporations through the issuance of new products.,A company launching products into a market they already dominate... effectively competing against themselves
X,Credit Crunch,An economic condition in which investment capital is difficult to obtain. ,"The economic climate in which consumers panic and begin buying supermarket own labels 'coz it's the credit crunch, innit'"
X,Critical Mass,"A very important or crucial stage in a company's development, where the business activity acquires self-sustaining viability. ",A really important stage in a company's development when it finally becomes able to support itself
X,Cross Sell,Selling additional related products,"You may already have that, but you DEFINITELY need this shiny thing as well.  It's best in class.."
